Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
150584,WhiteOak Capital Mid Cap Fund,WhiteOak Capital Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,WhiteOak Capital Mid Cap Fund Direct Plan Growth,500/- and in multiples of   1/- thereafter,22.974,2026-07-17,702.6469000000001,April - June 2026,INF03VN01597,-,INF03VN01597,2022-08-16,2022-08-30
120403,Invesco India Midcap Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,Invesco India Midcap Fund - Direct Plan - Growth Option,Rs.100 per app.;in multiples of Re.1 thereafter,240.76,2026-07-17,3907.0931,April - June 2026,INF205K01MV6,-,INF205K01MV6,2007-02-15,2007-03-15
150212,Baroda BNP Paribas Mid Cap Fund,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option,5000,134.6372,2026-07-17,,,INF251K01HQ0,-,INF251K01HQ0,2006-03-13,
147445,Mirae Asset Midcap Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Mid Cap Fund,Mirae Asset Midcap Fund- Direct Growth Option,Investors can invest under the Scheme with a minim,43.669,2026-07-17,5833.2561,April - June 2026,INF769K01FA9,-,INF769K01FA9,2019-07-08,
120726,UTI - Mid Cap Fund,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Mid Cap Fund,UTI Mid Cap Fund-Growth Option- Direct,5000,346.294,2026-07-17,1266.8728999999998,April - June 2026,INF789F01UA6,-,INF789F01UA6,2003-01-02,
151036,HSBC Midcap Fund,HSBC Asset Management (India) Private Ltd.,Open Ended,Equity Scheme - Mid Cap Fund,HSBC Midcap Fund - Direct Growth,5000,517.54,2026-07-17,,,INF917K01FZ1,-,INF917K01FZ1,2004-06-24,
140228,Edelweiss Mid Cap Fund,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,5000,127.303,2026-07-17,4447.8252,April - June 2026,INF843K01AO4,-,INF843K01AO4,2007-11-09,
120381,ICICI Prudential MidCap Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Mid Cap Fund,ICICI Prudential MidCap Fund - Direct Plan -  Growth,Rs. 5000/- (plus in multiple of Re. 1/-),379.8,2026-07-17,,,INF109K011N7,-,INF109K011N7,2004-09-06,2004-09-06
119581,Sundaram Mid Cap Fund,Sundaram Asset Management Company Ltd,Open Ended,Equity Scheme - Mid Cap Fund,Sundaram Mid Cap Fund Direct Plan - Growth,Rs.5000/-,1637.6727,2026-07-17,1294.3892999999998,April - June 2026,INF903J01MJ3,-,INF903J01MJ3,2002-06-24,
120841,Quant Mid Cap Fund,quant Money Managers Limited,Open Ended,Equity Scheme - Mid Cap Fund,quant Mid Cap Fund - Growth Option - Direct Plan,Rs. 5000/-,254.1999,2026-07-17,,,INF966L01887,-,INF966L01887,2001-02-12,2001-02-26
119620,Aditya Birla Sun Life Midcap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Mid Cap Fund,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,5000,943.06,2026-07-17,,,INF209K01Q30,-,INF209K01Q30,2002-09-09,2002-09-09
